,ingredient name,kor ingredient name,data available level,score with min,score,score class,cancer,developmental & reproductive toxicity,allergies & immunotoxicity
978,LINUM USITATISSIMUM (FLAX) SEED EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
979,PSIDIUM GUAJAVA (GUAVA) FRUIT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
980,MORINGA OLEIFERA SEED OIL,드럼스틱씨오일,None,1,1,Green,LOW,LOW,LOW
981,PRUNUS ARMENIACA (APRICOT) FRUIT EXTRACT,살구추출물,Limited,1,1,Green,LOW,LOW,LOW
982,DI-HEMA TRIMETHYLHEXYL DICARBAMATE,다이-헤마트라이메틸헥실다이카바메이트,Fair,2-5,5,Yellow,LOW,LOW,MODERATE
983,OLEA EUROPAEA (OLIVE) OIL UNSAPONIFIABLES,올리브오일불검화물,Limited,1,1,Green,LOW,LOW,LOW
984,SAPONIFIED SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,,None,1,1,Green,LOW,LOW,LOW
985,HYDROLYZED CORN STARCH,하이드롤라이즈드옥수수전분,Limited,1,1,Green,LOW,LOW,LOW
986,COCONUT,,Fair,1,1,Green,LOW,LOW,LOW
987,ECHINACEA PURPUREA (PURPLE CONEFLOWER) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
988,EQUISETUM ARVENSE (HORSETAIL),,Limited,1,1,Green,LOW,LOW,LOW
989,MELISSA OFFICINALIS (LEMON BALM) EXTRACT,,Fair,1-2,2,Green,LOW,LOW,LOW
990,DICETYL PHOSPHATE,다이세틸포스페이트,Limited,1,1,Green,LOW,LOW,LOW
991,ROSA MOSCHATA (MUSK ROSE) SEED OIL,,Limited,3,3,Yellow,LOW,LOW,HIGH
992,POLYGLYCERIN-3,폴리글리세린-3,Limited,1,1,Green,LOW,LOW,LOW
993,CITRULLUS VULGARIS (WATERMELON) FRUIT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
994,PEG-90M,피이지-90M,Limited,1-3,3,Yellow,LOW,LOW,LOW
995,PERLITE,펄라이트,Limited,1,1,Green,LOW,LOW,LOW
996,PEG-200 HYDROGENATED GLYCERYL PALMATE,피이지-200하이드로제네이티드글리세릴팔메이트,None,3,3,Yellow,LOW,LOW,LOW
997,CALOPHYLLUM TACAMAHACA (TAMANU) SEED OIL,,Limited,1,1,Green,LOW,LOW,LOW
998,NASTURTIUM OFFICINALE (WATERCRESS) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
999,"TOLUENE-2,5-DIAMINE","톨루엔-2,5-디아민",Fair,4-7,7,Red,LOW,LOW,HIGH
1000,AESCULUS HIPPOCASTANUM (HORSE CHESTNUT) SEED EXTRACT,가시칠엽수씨추출물,Limited,1,1,Green,LOW,LOW,LOW
1001,LITSEA CUBEBA (MAY CHANG) OIL,,Limited,1,1,Green,LOW,LOW,LOW
1002,LAURYL LAURATE,라우릴라우레이트,None,1,1,Green,LOW,LOW,LOW
1003,PRUNUS PERSICA (PEACH) FRUIT EXTRACT,복숭아추출물,Limited,1,1,Green,LOW,LOW,LOW
1004,SACCHAROMYCES/ MAGNESIUM FERMENT,효모/마그네슘발효물,None,1,1,Green,LOW,LOW,LOW
1005,VACCINIUM MYRTILLUS (BILBERRY) FRUIT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1006,ZEA MAYS (CORN) SILK EXTRACT,옥촉서예추출물,Fair,1,1,Green,LOW,LOW,LOW
1007,PHYLLANTHUS EMBLICA (INDIAN GOOSEBERRY) FRUIT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1008,COCOS NUCIFERA (COCONUT) FRUIT JUICE,코코넛야자열매즙,Limited,1,1,Green,LOW,LOW,LOW
1009,POLYESTER-8,폴리에스터-8,None,1,1,Green,LOW,LOW,LOW
1010,ASCOPHYLLUM NODOSUM (KNOTTED WRACK) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1011,PAPAIN,파파인,Fair,1-2,2,Green,LOW,LOW,MODERATE
1012,TRITICUM VULGARE (WHEAT) GERM EXTRACT,밀배아추출물,Limited,1,1,Green,LOW,LOW,LOW
1013,LAWSONIA INERMIS (HENNA) EXTRACT,헨나추출물,Fair,1-4,4,Yellow,LOW,LOW,LOW_MODERATE
1014,PPG-3 BENZYL ETHER MYRISTATE,피피지-3벤질에터미리스테이트,None,1,1,Green,LOW,LOW,LOW
1015,HYDROLYZED VEGETABLE PROTEIN,하이드롤라이즈드식물성단백질,Limited,1,1,Green,LOW,LOW,LOW
1016,ARGININE HYDROCHLORIDE,,Fair,1,1,Green,LOW,LOW,LOW
1017,ETHYL VANILLIN,에틸바닐린,Limited,1,1,Green,LOW,LOW,LOW
1018,ACRYLATES/ POLYTRIMETHYL SILOXYMETHACRYLATE COPOLYMER,아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,None,1,1,Green,LOW,LOW,LOW
1019,HYDROGENATED STYRENE/ ISOPRENE COPOLYMER,하이드로제네이티드스타이렌/아이소프렌코폴리머,Limited,1,1,Green,LOW,LOW,LOW
1020,CETETH-20,세테스-20,Fair,1-3,3,Yellow,LOW,LOW,LOW
1021,TRIBENZOIN,트라이벤조인,None,1,1,Green,LOW,LOW,LOW
1022,NYLON-6,나일론-6,Fair,1,1,Green,LOW,LOW,LOW
1023,ROSA CENTIFOLIA (CABBAGE ROSE) FLOWER EXTRACT,,Limited,3,3,Yellow,LOW,LOW,HIGH
1024,CINNAMOMUM CASSIA (CINNAMON) LEAF OIL,,Fair,3,3,Yellow,LOW,LOW,HIGH
1025,CASTOR ISOSTEARATE BEESWAX SUCCINATE,캐스터아이소스테아레이트비즈왁스석시네이트,None,1,1,Green,LOW,LOW,LOW
1026,SCLEROCARYA BIRREA SEED OIL,마룰라씨오일,None,1,1,Green,LOW,LOW,LOW
1027,EQUISETUM HIEMALE EXTRACT,속새추출물,None,1,1,Green,LOW,LOW,LOW
1028,TRIDECETH-2 CARBOXAMIDE MEA,트라이데세스-2카복사마이드엠이에이,Limited,1-3,3,Yellow,LOW,LOW,LOW
1029,ARCTIUM LAPPA (BURDOCK) ROOT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1030,ACETONE,아세톤,Good,3,3,Yellow,LOW,LOW,LOW
1031,C12-13 PARETH-3,C12-13파레스-3,None,1,1,Green,LOW,LOW,LOW
1032,HYDROXYETHYL UREA,하이드록시에틸우레아,Limited,1,1,Green,LOW,LOW,LOW
1033,INULIN,이눌린,Fair,1,1,Green,LOW,LOW,LOW
1034,DISODIUM COCOAMPHODIPROPIONATE,다이소듐코코암포다이프로피오네이트,Limited,1-2,2,Green,LOW,LOW,LOW
1035,OLEANOLIC ACID,올레아놀릭애씨드,Fair,1,1,Green,LOW,LOW,LOW
1036,ZINC PYRITHIONE,징크피리치온,Fair,2-3,3,Yellow,LOW,LOW,LOW
1037,CAMELLIA OLEIFERA (TEA-OIL CAMELLIA) SEED EXTRACT,,Fair,1,1,Green,LOW,LOW,LOW
1038,GARDENIA JASMINOIDES (GARDENIA) FRUIT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1039,PCA,피씨에이,Good,2,2,Green,LOW,LOW,LOW_MODERATE
1040,SACCHAROMYCES/ IRON FERMENT,효모/철발효물,Limited,2,2,Green,LOW,LOW,LOW
1041,SAMBUCUS NIGRA (ELDER) FLOWER EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1042,OCIMUM SANCTUM LEAF EXTRACT,홀리바질잎추출물,Limited,1,1,Green,LOW,LOW,LOW
1043,NEOPENTYL GLYCOL,네오펜틸글라이콜,Limited,1,1,Green,LOW,LOW,LOW
1044,JUNIPERUS COMMUNIS (JUNIPER) FRUIT OIL,,Limited,1,1,Green,LOW,LOW,LOW
1045,ACRYLATES/ C12-22 ALKYLMETHACRYLATE COPOLYMER,아크릴레이트/C12-22알킬메타크릴레이트코폴리머,None,1,1,Green,LOW,LOW,LOW
1046,AZADIRACHTA INDICA LEAF EXTRACT,님잎추출물,Limited,1,1,Green,LOW,LOW,LOW
1047,CETYL RICINOLEATE,세틸리시놀레이트,Limited,1,1,Green,LOW,LOW,LOW
1048,HYDROLYZED GLYCOSAMINOGLYCANS,하이드롤라이즈드글라이코사미노글리칸,None,1,1,Green,LOW,LOW,LOW
1049,HORDEUM VULGARE (BARLEY) EXTRACT,,Fair,1,1,Green,LOW,LOW,LOW
1050,MANNITOL,만니톨,Fair,1,1,Green,LOW,LOW,LOW
1051,GLYCERYL POLYMETHACRYLATE,글리세릴폴리메타크릴레이트,Limited,1,1,Green,LOW,LOW,LOW
1052,SODIUM TRIDECETH SULFATE,소듐트라이데세스설페이트,None,1,1,Green,LOW,LOW,LOW
1053,PALMITOYL TRIPEPTIDE-38,팔미토일트라이펩타이드-38,None,1,1,Green,LOW,LOW,LOW
1054,DIPROPYLENE GLYCOL DIBENZOATE,다이프로필렌글라이콜다이벤조에이트,None,1,1,Green,LOW,LOW,LOW
1055,LAURYL METHACRYLATE/ GLYCOL DIMETHACRYLATE CROSSPOLYMER,라우릴메타크릴레이트/글라이콜다이메타크릴레이트크로스폴리머,Limited,1,1,Green,LOW,LOW,LOW
1056,PHYTOSTERYL MACADAMIATE,피토스테릴마카다미에이트,None,1,1,Green,LOW,LOW,LOW
1057,SORBITAN TRISTEARATE,솔비탄트라이스테아레이트,Limited,1,1,Green,LOW,LOW,LOW
1058,POLYPROPYLENE,폴리프로필렌,Fair,1,1,Green,LOW,LOW,LOW
1059,PLANKTON EXTRACT,플랑크톤추출물,None,1,1,Green,LOW,LOW,LOW
1060,ETHYLCELLULOSE,에틸셀룰로오스,Fair,1,1,Green,LOW,LOW,LOW
1061,CETETH-10 PHOSPHATE,세테스-10포스페이트,None,1-3,3,Yellow,LOW,LOW,LOW
1062,ZINGIBER OFFICINALE (GINGER) ROOT OIL,생강오일,Limited,1,1,Green,LOW,LOW,LOW
1063,CERAMIDE 2,세라마이드2,Limited,1,1,Green,LOW,LOW,LOW
1064,TETRABUTYL PHENYL HYDROXYBENZOATE,테트라부틸페닐하이드록시벤조에이트,None,1,1,Green,LOW,LOW,LOW
1065,ACETAMIDE MEA,아세타마이드엠이에이,Limited,1-4,4,Yellow,LOW,LOW,LOW
1066,ROSA CENTIFOLIA (CABBAGE ROSE) FLOWER WATER,,Limited,1,1,Green,LOW,LOW,LOW
1067,POLYQUATERNIUM-51,폴리쿼터늄-51,Limited,1,1,Green,LOW,LOW,LOW
1068,HYDRASTIS CANADENSIS (GOLDENSEAL) EXTRACT,골든실추출물,Limited,1,1,Green,LOW,LOW,LOW
1069,ORYZANOL,오리자놀,Fair,1,1,Green,LOW,LOW,LOW
1070,PEG-30 DIPOLYHYDROXYSTEARATE,피이지-30다이폴리하이드록시스테아레이트,None,3,3,Yellow,LOW,LOW,LOW
1071,CHLORELLA VULGARIS (DERMOCHLORELLA ALGAE) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1072,GLYCINE SOJA (SOYBEAN) STEROLS,돌콩스테롤,Limited,1,1,Green,LOW,LOW,LOW
1073,ADANSONIA DIGITATA SEED OIL,바오밥나무씨오일,None,1,1,Green,LOW,LOW,LOW
1074,ANHYDROXYLITOL,안하이드로자일리톨,Limited,1,1,Green,LOW,LOW,LOW
1075,OCIMUM BASILICUM (SWEET BASIL) OIL,,Limited,1,1,Green,LOW,LOW,LOW
1076,XYLITYLGLUCOSIDE,자일리틸글루코사이드,None,1,1,Green,LOW,LOW,LOW
1077,POLOXAMER 338,폴록사머338,Limited,2,2,Green,LOW,LOW,LOW
1078,GARCINIA INDICA SEED BUTTER,코쿰씨버터,Limited,1,1,Green,LOW,LOW,LOW
1079,PALM KERNEL ACID,팜커넬애씨드,None,1,1,Green,LOW,LOW,LOW
1080,PERFLUORONONYL DIMETHICONE,퍼플루오로노닐다이메티콘,None,4,4,Yellow,LOW,LOW,LOW
1081,O-CYMEN-5-OL,o-사이멘-5-올,Limited,1-2,2,Green,LOW,LOW,LOW
1082,POLYGLYCERYL-3 STEARATE,폴리글리세릴-3스테아레이트,Limited,1,1,Green,LOW,LOW,LOW
1083,PROPYLENE GLYCOL LAURATE,프로필렌글라이콜라우레이트,Limited,1,1,Green,LOW,LOW,LOW
1084,OLETH-5,올레스-5,None,1-3,3,Yellow,LOW,LOW,LOW
1085,CALENDULA OFFICINALIS (POT MARIGOLD),,Limited,1,1,Green,LOW,LOW,LOW
1086,ZINGIBER OFFICINALE (GINGER) OIL,,Limited,1,1,Green,LOW,LOW,LOW
1087,QUATERNIUM-91,쿼터늄-91,None,1,1,Green,LOW,LOW,LOW
1088,"TOLUENE-2,5-DIAMINE SULFATE","황산톨루엔-2,5-디아민",Fair,4-7,7,Red,LOW,LOW,HIGH
1089,TROPOLONE,트로폴론,Limited,1,1,Green,LOW,LOW,LOW
1090,ETHYLENEDIAMINE/ STEARYL DIMER DILINOLEATE COPOLYMER,에틸렌다이아민/스테아릴다이머다이리놀리에이트코폴리머,None,1,1,Green,LOW,LOW,LOW
1091,OLEA EUROPAEA (OLIVE) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1092,SACCHARIN,사카린,Fair,1,1,Green,LOW,LOW,LOW
1093,GLYCERYL BEHENATE/ EICOSADIOATE,글리세릴베헤네이트/에이코사디오에이트,None,1,1,Green,LOW,LOW,LOW
1094,DIMETHYL SULFONE,다이메틸설폰,Limited,1,1,Green,LOW,LOW,LOW
1095,COCOGLYCERIDES,코코글리세라이즈,None,1,1,Green,LOW,LOW,LOW
1096,MAGNESIUM ASPARTATE,마그네슘아스파테이트,Limited,1,1,Green,LOW,LOW,LOW
1097,SACCHARINA JAPONICA EXTRACT,,None,1,1,Green,LOW,LOW,LOW
1098,METHYL DIHYDROABIETATE,메틸다이하이드로아비에테이트,None,1,1,Green,LOW,LOW,LOW
1099,C12-16 ALCOHOLS,C12-16알코올,None,1,1,Green,LOW,LOW,LOW
1100,SQUALENE,스쿠알렌,Fair,1,1,Green,LOW,LOW,LOW
1101,THYMUS VULGARIS (COMMON THYME) OIL,,Limited,1,1,Green,LOW,LOW,LOW
1102,WILD PANSY EXTRACT,,None,1,1,Green,LOW,LOW,LOW
1103,BAMBUSA ARUNDINACEA (BAMBOO) STEM EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1104,NELUMBO NUCIFERA (SACRED LOTUS) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1105,PEG-55 PROPYLENE GLYCOL OLEATE,피이지-55프로필렌글라이콜올리에이트,Limited,1-3,3,Yellow,LOW,LOW,LOW
1106,POLYGLYCERYL-4 CAPRATE,폴리글리세릴-4카프레이트,Limited,1,1,Green,LOW,LOW,LOW
1107,SPIRULINA MAXIMA (ALGAE) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1108,VACCINIUM ANGUSTIFOLIUM (BLUEBERRY) FRUIT EXTRACT,로우스위트블루베리추출물,None,1,1,Green,LOW,LOW,LOW
1109,ISOSORBIDE DICAPRYLATE,아이소소바이드다이카프릴레이트,None,1,1,Green,LOW,LOW,LOW
1110,RUBUS IDAEUS (RASPBERRY) LEAF EXTRACT,라즈베리잎추출물,Limited,1,1,Green,LOW,LOW,LOW
1111,PPG-15 STEARYL ETHER,피피지-15스테아릴에터,Limited,1,1,Green,LOW,LOW,LOW
1112,ANISE ALCOHOL,아니스알코올,Limited,3-4,4,Yellow,LOW,LOW,HIGH
1113,VA/ BUTYL MALEATE/ ISOBORNYL ACRYLATE COPOLYMER,브이에이/부틸말레이트/아이소보닐아크릴레이트코폴리머,None,1,1,Green,LOW,LOW,LOW
1114,HYPERICUM PERFORATUM (ST. JOHN'S WORT) EXTRACT,,Fair,1,1,Green,LOW,LOW,LOW
1115,SERENOA SERRULATA FRUIT EXTRACT,사발팜열매추출물,Limited,1,1,Green,LOW,LOW,LOW
1116,LINOLENIC ACID,리놀레닉애씨드,Fair,1,1,Green,LOW,LOW,LOW
1117,TARTARIC ACID,타타릭애씨드,Fair,1,1,Green,LOW,LOW,LOW
1118,PISUM SATIVUM (PEA) EXTRACT,완두콩전초추출물,Fair,1,1,Green,LOW,LOW,LOW
1119,HEMA,헤마,Fair,2-5,5,Yellow,LOW,LOW,MODERATE
1120,POTASSIUM COCOATE,포타슘코코에이트,Fair,1,1,Green,LOW,LOW,LOW
1121,BISAMINO PEG/ PPG-41/ 3 AMINOETHYL PG-PROPYL DIMETHICONE,비스아미노피이지/피피지-41/3아미노에틸피지-프로필다이메티콘,None,3,3,Yellow,LOW,LOW,LOW
1122,MANGIFERA INDICA (MANGO) SEED OIL,망고씨오일,Limited,1,1,Green,LOW,LOW,LOW
1123,AMINOMETHYL PROPANEDIOL,아미노메틸프로판다이올,Limited,1,1,Green,LOW,LOW,LOW
1124,C12-13 PARETH-23,C12-13파레스-23,None,1,1,Green,LOW,LOW,LOW
1125,TRIMETHYLOLPROPANE TRIISOSTEARATE,트라이메틸올프로판트라이아이소스테아레이트,None,1,1,Green,LOW,LOW,LOW
1126,NIACIN,나이아신,Fair,1,1,Green,LOW,LOW,LOW
1127,METHYLCELLULOSE,메틸셀룰로오스,Fair,1,1,Green,LOW,LOW,LOW
1128,HYDROXYCYCLOHEXYL PHENYL KETONE,하이드록시사이클로헥실페닐케톤,Limited,1,1,Green,LOW,LOW,LOW
1129,OLETH-30,올레스-30,Limited,1-3,3,Yellow,LOW,LOW,LOW
1130,HAMAMELIS VIRGINIANA (WITCH HAZEL) LEAF EXTRACT,버지니아풍년화잎추출물,Limited,1,1,Green,LOW,LOW,LOW
1131,TRICLOSAN,트리클로산,Fair,7,7,Red,LOW,LOW,LOW_MODERATE
1132,QUATERNIUM-18,쿼터늄-18,Limited,2,2,Green,LOW,LOW,MODERATE
1133,POLYGLYCERYL-3 BEESWAX,폴리글리세릴-3비즈왁스,Limited,1,1,Green,LOW,LOW,LOW
1134,CERAMIDE 1,세라마이드1,Fair,1,1,Green,LOW,LOW,LOW
1135,CHAMOMILLA RECUTITA (MATRICARIA) FLOWER OIL,마트리카리아꽃오일,Limited,2,2,Green,LOW,LOW,LOW
1136,PALMITOYL TRIPEPTIDE-5,팔미토일트라이펩타이드-5,None,1,1,Green,LOW,LOW,LOW
1137,SODIUM LAUROYL GLUTAMATE,소듐라우로일글루타메이트,Limited,1,1,Green,LOW,LOW,LOW
1138,EUCALYPTUS GLOBULUS (TASMANIAN BLUE GUM) LEAF EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1139,SODIUM METHYL 2-SULFOLAURATE,소듐메틸2-설포라우레이트,None,1,1,Green,LOW,LOW,LOW
1140,ROSA DAMASCENA (ROSE) FLOWER EXTRACT,,Limited,3,3,Yellow,LOW,LOW,HIGH
1141,ETHYLHEXYL ISONONANOATE,에틸헥실아이소노나노에이트,Limited,1,1,Green,LOW,LOW,LOW
1142,LAMINARIA SACCHARINA EXTRACT,슈가켈프추출물,Limited,1,1,Green,LOW,LOW,LOW
1143,METHYL 2-OCTYNOATE,메칠2-옥티노에이트,Limited,3-4,4,Yellow,LOW,LOW,HIGH
1144,POLYGLYCERYL-2 DIISOSTEARATE,폴리글리세릴-2다이아이소스테아레이트,Limited,1,1,Green,LOW,LOW,LOW
1145,SODIUM LAUROYL ISETHIONATE,소듐라우로일이세티오네이트,Limited,1,1,Green,LOW,LOW,LOW
1146,CI 15620 CI 15620,,Limited,1,1,Green,LOW,LOW,LOW
1147,BEHENIC ACID,베헤닉애씨드,Limited,1,1,Green,LOW,LOW,LOW
1148,CERAMIDE 6-II,세라마이드6,None,1,1,Green,LOW,LOW,LOW
1149,SODIUM POLYMETHACRYLATE,소듐폴리메타크릴레이트,Fair,1,1,Green,LOW,LOW,LOW
1150,SPRUCE OIL,,Limited,1,1,Green,LOW,LOW,LOW
1151,KERATIN,케라틴,Fair,1-2,2,Green,LOW,LOW,LOW
1152,HYDROXYSTEARIC ACID,하이드록시스테아릭애씨드,Limited,1,1,Green,LOW,LOW,LOW
1153,HYDROXYPROPYL METHACRYLATE,하이드록시프로필메타크릴레이트,Fair,2,2,Green,LOW,LOW,MODERATE
1154,DISODIUM 2-SULFOLAURATE,다이소듐2-설포라우레이트,None,1,1,Green,LOW,LOW,LOW
1155,SODIUM LAURETH-12 SULFATE,소듐라우레스-12설페이트,Limited,1-3,3,Yellow,LOW,LOW,LOW
1156,CINNAMOMUM ZEYLANICUM BARK EXTRACT,실론시나몬나무껍질추출물,Fair,3,3,Yellow,LOW,LOW,HIGH
1157,ISOPENTANE,아이소펜탄,Fair,2-3,3,Yellow,LOW,LOW,MODERATE
1158,CYMBOPOGON SCHOENANTHUS OIL,카멜그라스오일,Limited,3,3,Yellow,LOW,LOW,HIGH
1159,SODIUM ACRYLATE/ SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,None,1,1,Green,LOW,LOW,LOW
1160,"10-Undecenoic acid, heptyl ester",,Limited,1,1,Green,LOW,LOW,LOW
1161,GLYCIDYL NEODECANOATE/ PHTHALIC ANHYDRIDE/ TMP CROSSPOLYMER,글리시딜네오데카노에이트/프탈릭안하이드라이드/티엠피크로스폴리머,None,1,1,Green,LOW,LOW,LOW
1162,BIS-BEHENYL/ ISOSTEARYL/ PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE,비스-베헤닐/아이소스테아릴/피토스체릴다이머다이리놀레일다이머다이리놀리에이트,None,1,1,Green,LOW,LOW,LOW
1163,GERANIUM MACULATUM (SPOTTED CRANESBILL) OIL,,Limited,1,1,Green,LOW,LOW,LOW
1164,LINUM USITATISSIMUM (FLAX) OIL,,Limited,1,1,Green,LOW,LOW,LOW
1165,"2-BROMO-2-NITROPROPANE-1,3-DIOL (FORMALDEHYDE RELEASER)",,Fair,4-8,8,Red,LOW,LOW,HIGH
1166,INOSITOL,이노시톨,Fair,1,1,Green,LOW,LOW,LOW
1167,SALVIA OFFICINALIS (SAGE),,Limited,1,1,Green,LOW,LOW,LOW
1168,FUMARIC ACID,푸마릭애씨드,Fair,1,1,Green,LOW,LOW,LOW
1169,PASSIFLORA INCARNATA (MAYPOPS) FRUIT EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1170,GLYCERYL ACRYLATE/ ACRYLIC ACID COPOLYMER,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,None,1,1,Green,LOW,LOW,LOW
1171,CYMBOPOGON CITRATUS (LEMONGRASS) LEAF OIL,,Limited,1,1,Green,LOW,LOW,LOW
1172,ORYZA SATIVA (RICE) POWDER,쌀가루,Fair,1-2,2,Green,LOW,LOW,LOW
1173,PEG-80 SORBITAN LAURATE,피이지-80솔비탄라우레이트,Fair,2-4,4,Yellow,LOW,LOW,MODERATE
1174,SODIUM BORATE,소듐보레이트,Fair,5,5,Yellow,LOW,LOW_MODERATE,LOW
1175,STEARAMIDE AMP,스테아라마이드에이엠피,None,1,1,Green,LOW,LOW,LOW
1176,PEG-4 RAPESEEDAMIDE,피이지-4레이프씨드아마이드,None,3,3,Yellow,LOW,LOW,LOW
1177,SYMPHYTUM OFFICINALE (COMFREY),,Limited,4,4,Yellow,MODERATE,LOW,LOW
1178,PVM/ MA COPOLYMER,피브이엠/엠에이코폴리머,Limited,1,1,Green,LOW,LOW,LOW
1179,STEARETH-100,스테아레스-100,Limited,1-3,3,Yellow,LOW,LOW,LOW
1180,PRUNUS SEROTINA (WILD CHERRY) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1181,CETYL HYDROXYETHYLCELLULOSE,세틸하이드록시에틸셀룰로오스,None,1,1,Green,LOW,LOW,LOW
1182,DIVINYLDIMETHICONE/ DIMETHICONE COPOLYMER,다이비닐다이메티콘/다이메티콘코폴리머,None,1,1,Green,LOW,LOW,LOW
1183,URTICA DIOICA (NETTLE),쐐기풀,Limited,1,1,Green,LOW,LOW,LOW
1184,AVENA SATIVA (OAT) KERNEL PROTEIN,귀리커넬단백질,Fair,1,1,Green,LOW,LOW,LOW
1185,AMMONIUM POLYACRYLOYLDIMETHYL TAURATE,암모늄폴리아크릴로일다이메틸타우레이트,None,1,1,Green,LOW,LOW,LOW
1186,HYPNEA MUSCIFORMIS (HYPNEACEAE) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1187,DIMETHICONE/ POLYGLYCERIN-3 CROSSPOLYMER,다이메티콘/폴리글리세린-3크로스폴리머,None,1,1,Green,LOW,LOW,LOW
1188,1-NAPHTHOL,1-나프톨,Fair,3-8,8,Red,LOW,LOW,MODERATE
1189,HYDROXYPROPYL CYCLODEXTRIN,하이드록시프로필사이클로덱스트린,Fair,1,1,Green,LOW,LOW,LOW
1190,GERANIUM MACULATUM (SPOTTED CRANESBILL) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1191,SODIUM PHOSPHATE,소듐포스페이트,Fair,1,1,Green,LOW,LOW,LOW
1192,LINOLEAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE,리놀레아미도프로필피지-다이모늄클로라이드포스페이트,None,3,3,Yellow,LOW,LOW,HIGH
1193,SAMBUCUS NIGRA (ELDER) EXTRACT,,Limited,1,1,Green,LOW,LOW,LOW
1194,HELIANTHUS ANNUUS (SUNFLOWER) EXTRACT,해바라기추출물,Limited,1,1,Green,LOW,LOW,LOW
1195,CETEARETH-12,세테아레스-12,Limited,1-3,3,Yellow,LOW,LOW,LOW
1196,DECETH-3,데세스-3,None,1,1,Green,LOW,LOW,LOW
1197,HYDROLYZED WHEAT PROTEIN/ PVP CROSSPOLYMER,하이드롤라이즈드밀단백질/피브이피크로스폴리머,None,1,1,Green,LOW,LOW,LOW
1198,TRIDECETH-10,트라이데세스-10,Limited,1,1,Green,LOW,LOW,LOW
1199,CINNAMOMUM CASSIA (CINNAMON) OIL,,Fair,3,3,Yellow,LOW,LOW,HIGH
1200,HAMAMELIS VIRGINIANA (WITCH HAZEL) DISTILLATE,,Limited,1,1,Green,LOW,LOW,LOW
1201,SACCHAROMYCES/ FERMENT,효모발효물,None,1,1,Green,LOW,LOW,LOW
1202,VALINE,발린,Fair,1,1,Green,LOW,LOW,LOW
1203,ARNICA MONTANA,,Limited,2,2,Green,LOW,LOW,MODERATE
1204,PALMITOYL PENTAPEPTIDE-4,팔미토일펜타펩타이드-4,None,1,1,Green,LOW,LOW,LOW
1205,CURCUMA LONGA (TURMERIC) ROOT EXTRACT,울금뿌리추출물,Fair,1,1,Green,LOW,LOW,LOW
1206,BIS-PEG-18 METHYL ETHER DIMETHYL SILANE,비스-피이지-18메틸에터다이메틸실레인,Limited,3,3,Yellow,LOW,LOW,LOW
1207,ROSA CANINA (DOG ROSE) HIPS OIL,,Limited,3,3,Yellow,LOW,LOW,HIGH
1208,HYDROLYZED OAT PROTEIN,하이드롤라이즈드귀리단백질,Limited,1,1,Green,LOW,LOW,LOW
1209,OLIVE SQUALANE,,None,1,1,Green,LOW,LOW,LOW
1210,SODIUM SALICYLATE,소듐살리실레이트,Fair,1,1,Green,LOW,LOW,LOW
1211,MAGNESIUM CARBONATE HYDROXIDE,마그네슘카보네이트하이드록사이드,Limited,1,1,Green,LOW,LOW,LOW
1212,SACCHAROMYCES/ SILICON FERMENT,효모/실리콘발효물,None,1,1,Green,LOW,LOW,LOW
1213,ISOTRIDECYL ISONONANOATE,아이소트라이데실아이소노나노에이트,None,1,1,Green,LOW,LOW,LOW
1214,PHENYLALANINE,페닐알라닌,Fair,1,1,Green,LOW,LOW,LOW
1215,SORBITAN SESQUIISOSTEARATE,솔비탄세스퀴아이소스테아레이트,None,1,1,Green,LOW,LOW,LOW
1216,BUTYLENE GLYCOL DICAPRYLATE/ DICAPRATE,부틸렌글라이콜다이카프릴레이트/다이카프레이트,None,1,1,Green,LOW,LOW,LOW
