,ingredient name,kor ingredient name,data available level,score with min,score,score class,cancer,developmental & reproductive toxicity,allergies & immunotoxicity
63,ALCOHOL DENATURED,,Fair,1,1,Green,LOW,LOW,LOW
64,ISODODECANE,아이소도데케인,Limited,1,1,Green,LOW,LOW,LOW
65,CARBOMER,카보머,Fair,1,1,Green,LOW,LOW,LOW
66,SODIUM HYALURONATE,소듐하이알루로네이트,Fair,1,1,Green,LOW,LOW,LOW
67,ISOPROPYL ALCOHOL,아이소프로필알코올,Good,2,2,Green,LOW,LOW,LOW
68,LECITHIN,레시틴,Good,1-2,2,Green,LOW,LOW,LOW_MODERATE
69,TRIMETHYLSILOXYSILICATE,트라이메틸실록시실리케이트,Limited,1,1,Green,LOW,LOW,LOW
70,GERANIOL,제라니올,Fair,3-5,5,Yellow,LOW,LOW,HIGH
71,THEOBROMA CACAO (COCOA) SEED BUTTER,카카오씨버터,Limited,1,1,Green,LOW,LOW,LOW
72,MINERAL OIL,미네랄오일,Good,1-3,3,Yellow,LOW,LOW,MODERATE
73,KAOLIN,카올린,Fair,1,1,Green,LOW,LOW,LOW
74,PERSEA GRATISSIMA (AVOCADO) OIL,아보카도오일,Limited,1,1,Green,LOW,LOW,LOW
75,CITRONELLOL,시트로넬올,Fair,3-4,4,Yellow,LOW,LOW,HIGH
76,CAMELLIA SINENSIS (GREEN TEA) LEAF EXTRACT,,Fair,2,2,Green,LOW,LOW,LOW
77,CI 45410 (D&C Red No. 27 or 28) Lake,,Limited,5,5,Yellow,LOW,LOW,LOW
78,FD&C Yellow 5 (CI 19140),,Fair,4-6,6,Yellow,LOW,LOW,LOW_MODERATE
79,PROPYLENE CARBONATE,프로필렌카보네이트,Limited,1,1,Green,LOW,LOW,LOW
80,POLYSORBATE-20,폴리솔베이트20,Fair,3,3,Yellow,LOW,LOW,LOW
81,MICROCRYSTALLINE WAX (CERA MICROCRISTALLINA),,Limited,1,1,Green,LOW,LOW,LOW
82,METHYLCHLOROISOTHIAZOLINONE,메칠클로로이소치아졸리논,Fair,5,5,Yellow,LOW,LOW,MODERATE
83,TITANIUM DIOXIDE (sunscreen grade),,Good,2-6,6,Yellow,LOW_MODERATE,LOW,LOW
84,STEARYL ALCOHOL,스테아릴알코올,Limited,1,1,Green,LOW,LOW,LOW
85,SODIUM LAURETH SULFATE,소듐라우레스설페이트,Limited,1-3,3,Yellow,LOW,LOW,LOW
86,CI 42090 (FD&C Blue No. 1 or D&C Blue No. 4),,Fair,2-7,7,Red,LOW,LOW,LOW
87,FERRIC FERROCYANIDE,페릭페로시아나이드,Fair,1-4,4,Yellow,LOW,LOW,LOW
88,HEXYL CINNAMAL,헥실신나몰,Limited,3,3,Yellow,LOW,LOW,HIGH
89,OZOKERITE,오조케라이트,Limited,1,1,Green,LOW,LOW,LOW
90,LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL,라벤더오일,Limited,2,2,Green,LOW,LOW,LOW
91,CALCIUM ALUMINUM BOROSILICATE,칼슘알루미늄보로실리케이트,Fair,2,2,Green,LOW,LOW,LOW
92,PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL,스위트아몬드오일,Limited,1,1,Green,LOW,LOW,LOW
93,NYLON-12,나일론-12,Limited,1,1,Green,LOW,LOW,LOW
94,OCTYLDODECANOL,옥틸도데칸올,Limited,1,1,Green,LOW,LOW,LOW
95,CALCIUM SODIUM BOROSILICATE,칼슘소듐보로실리케이트,None,2,2,Green,LOW,LOW,LOW
