,idx,code,name,brand_name,hash_tag,star,star_count,weight,ml,product_count,price,date,flag,ingredients,view,product img path,product detail img paths,product_url
10,11,,베이비 머슬린 워시클러츠 프리미엄 내추럴 코튼 페이스 클로즈 섬세한 피부 보이즈 또는 걸스 멀티컬러 코튼 페이스 타월,no_brand,,,,,,단일옵션,"18,800원",2021-01-13 15:55:36.922452,,,,./img_files_in_coupang_baby_title/product/물티슈/건티슈/no_brand/베이비 머슬린 워시클러츠 프리미엄 내추럴 코튼 페이스 클로즈 섬세한 피부 보이즈 또는 걸스 멀티컬러 코튼 페이스 타월.jpg,"./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/베이비 머슬린 워시클러츠 프리미엄 내추럴 코튼 페이스 클로즈 섬세한 피부 보이즈 또는 걸스 멀티컬러 코튼 페이스 타월/베이비 머슬린 워시클러츠 프리미엄 내추럴 코튼 페이스 클로즈 섬세한 피부 보이즈 또는 걸스 멀티컬러 코튼 페이스 타월_0.jpg,./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/베이비 머슬린 워시클러츠 프리미엄 내추럴 코튼 페이스 클로즈 섬세한 피부 보이즈 또는 걸스 멀티컬러 코튼 페이스 타월/베이비 머슬린 워시클러츠 프리미엄 내추럴 코튼 페이스 클로즈 섬세한 피부 보이즈 또는 걸스 멀티컬러 코튼 페이스 타월_1.jpg",https://www.coupang.com/vp/products/4343794445?itemId=5087929883&vendorItemId=72397549923&sourceType=CATEGORY&categoryId=485881
11,12,,일회용 면 수건 민감성 피부를 위한 소프 페이셜 면 수건 세탁 가능한 메이크업 리무버 수건 자연 안면 클렌징 수건: 뷰티,no_brand,,,,,,단일옵션,"16,800원",2021-01-13 15:55:52.476551,,,,./img_files_in_coupang_baby_title/product/물티슈/건티슈/no_brand/일회용 면 수건 민감성 피부를 위한 소프 페이셜 면 수건 세탁 가능한 메이크업 리무버 수건 자연 안면 클렌징 수건: 뷰티.jpg,"./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/일회용 면 수건 민감성 피부를 위한 소프 페이셜 면 수건 세탁 가능한 메이크업 리무버 수건 자연 안면 클렌징 수건: 뷰티/일회용 면 수건 민감성 피부를 위한 소프 페이셜 면 수건 세탁 가능한 메이크업 리무버 수건 자연 안면 클렌징 수건: 뷰티_0.jpg,./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/일회용 면 수건 민감성 피부를 위한 소프 페이셜 면 수건 세탁 가능한 메이크업 리무버 수건 자연 안면 클렌징 수건: 뷰티/일회용 면 수건 민감성 피부를 위한 소프 페이셜 면 수건 세탁 가능한 메이크업 리무버 수건 자연 안면 클렌징 수건: 뷰티_1.jpg",https://www.coupang.com/vp/products/4343794381?itemId=5087929672&vendorItemId=72397549755&sourceType=CATEGORY&categoryId=485881
12,13,,일회용 면 타월 소프트 퓨어 코튼 페이셜 티스 린트프리 두툼한 클렌징 클로즈 80카운트,no_brand,,,,,,단일옵션,"22,700원",2021-01-13 15:56:07.974317,,,,./img_files_in_coupang_baby_title/product/물티슈/건티슈/no_brand/일회용 면 타월 소프트 퓨어 코튼 페이셜 티스 린트프리 두툼한 클렌징 클로즈 80카운트.jpg,"./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/일회용 면 타월 소프트 퓨어 코튼 페이셜 티스 린트프리 두툼한 클렌징 클로즈 80카운트/일회용 면 타월 소프트 퓨어 코튼 페이셜 티스 린트프리 두툼한 클렌징 클로즈 80카운트_0.jpg,./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/일회용 면 타월 소프트 퓨어 코튼 페이셜 티스 린트프리 두툼한 클렌징 클로즈 80카운트/일회용 면 타월 소프트 퓨어 코튼 페이셜 티스 린트프리 두툼한 클렌징 클로즈 80카운트_1.jpg",https://www.coupang.com/vp/products/4343794557?itemId=5087930442&vendorItemId=72397549758&sourceType=CATEGORY&categoryId=485881
13,14,,Conkote Soft Dry Wipes 코튼 100% 피부를 위한 무향 페이셜 코튼 티스 180 카운트(어소트먼트 팩):,no_brand,,,,,,단일옵션,"24,700원",2021-01-13 15:56:23.456691,,,,./img_files_in_coupang_baby_title/product/물티슈/건티슈/no_brand/Conkote Soft Dry Wipes 코튼 100% 피부를 위한 무향 페이셜 코튼 티스 180 카운트(어소트먼트 팩):.jpg,"./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/Conkote Soft Dry Wipes 코튼 100% 피부를 위한 무향 페이셜 코튼 티스 180 카운트(어소트먼트 팩):/Conkote Soft Dry Wipes 코튼 100% 피부를 위한 무향 페이셜 코튼 티스 180 카운트(어소트먼트 팩):_0.jpg,./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/Conkote Soft Dry Wipes 코튼 100% 피부를 위한 무향 페이셜 코튼 티스 180 카운트(어소트먼트 팩):/Conkote Soft Dry Wipes 코튼 100% 피부를 위한 무향 페이셜 코튼 티스 180 카운트(어소트먼트 팩):_1.jpg",https://www.coupang.com/vp/products/4343795026?itemId=5087931604&vendorItemId=72397549842&sourceType=CATEGORY&categoryId=485881
14,15,,민감성 피부를 위한 QTMY 일회용 페이스 타월 부드러운 코튼 패드 100% 드라이 베이비 물티슈 페이셜 코튼 티슈 드라이 앤,no_brand,,,,,,단일옵션,"74,200원",2021-01-13 15:56:39.113275,,,,./img_files_in_coupang_baby_title/product/물티슈/건티슈/no_brand/민감성 피부를 위한 QTMY 일회용 페이스 타월 부드러운 코튼 패드 100% 드라이 베이비 물티슈 페이셜 코튼 티슈 드라이 앤.jpg,"./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/민감성 피부를 위한 QTMY 일회용 페이스 타월 부드러운 코튼 패드 100% 드라이 베이비 물티슈 페이셜 코튼 티슈 드라이 앤/민감성 피부를 위한 QTMY 일회용 페이스 타월 부드러운 코튼 패드 100% 드라이 베이비 물티슈 페이셜 코튼 티슈 드라이 앤_0.jpg,./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/민감성 피부를 위한 QTMY 일회용 페이스 타월 부드러운 코튼 패드 100% 드라이 베이비 물티슈 페이셜 코튼 티슈 드라이 앤/민감성 피부를 위한 QTMY 일회용 페이스 타월 부드러운 코튼 패드 100% 드라이 베이비 물티슈 페이셜 코튼 티슈 드라이 앤_1.jpg",https://www.coupang.com/vp/products/4343794411?itemId=5087929822&vendorItemId=72397549846&sourceType=CATEGORY&categoryId=485881
15,16,,Conkote Soft Dry Wipes 코튼 100% 피부를 위한 무향 페이셜 코튼 티스 600 카운트: Health &amp. Personal Care,no_brand,,,,,,단일옵션,"60,400원",2021-01-13 15:56:54.427573,,,,./img_files_in_coupang_baby_title/product/물티슈/건티슈/no_brand/Conkote Soft Dry Wipes 코튼 100% 피부를 위한 무향 페이셜 코튼 티스 600 카운트: Health &amp. Personal Care.jpg,"./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/Conkote Soft Dry Wipes 코튼 100% 피부를 위한 무향 페이셜 코튼 티스 600 카운트: Health &amp. Personal Care/Conkote Soft Dry Wipes 코튼 100% 피부를 위한 무향 페이셜 코튼 티스 600 카운트: Health &amp. Personal Care_0.jpg,./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/Conkote Soft Dry Wipes 코튼 100% 피부를 위한 무향 페이셜 코튼 티스 600 카운트: Health &amp. Personal Care/Conkote Soft Dry Wipes 코튼 100% 피부를 위한 무향 페이셜 코튼 티스 600 카운트: Health &amp. Personal Care_1.jpg",https://www.coupang.com/vp/products/4343794305?itemId=5087929396&vendorItemId=72397549522&sourceType=CATEGORY&categoryId=485881
16,17,,아마존 브랜드 - 솔리모 코튼 반지 100ct(6팩):,no_brand,,,,,,단일옵션,"28,100원",2021-01-13 15:57:09.913548,,,,./img_files_in_coupang_baby_title/product/물티슈/건티슈/no_brand/아마존 브랜드 - 솔리모 코튼 반지 100ct(6팩):.jpg,"./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/아마존 브랜드 - 솔리모 코튼 반지 100ct(6팩):/아마존 브랜드 - 솔리모 코튼 반지 100ct(6팩):_0.jpg,./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/아마존 브랜드 - 솔리모 코튼 반지 100ct(6팩):/아마존 브랜드 - 솔리모 코튼 반지 100ct(6팩):_1.jpg",https://www.coupang.com/vp/products/4343794303?itemId=5087929390&vendorItemId=72397549230&sourceType=CATEGORY&categoryId=485881
17,18,,칸두의 아기 어린이용 수분이 많은 물티슈프 민감성 피부를 위한 무향 저자극 포티 트레이닝 물티 클렌징 클로즈 250카운,no_brand,,,,,,단일옵션,"83,700원",2021-01-13 15:57:25.137770,,,,./img_files_in_coupang_baby_title/product/물티슈/건티슈/no_brand/칸두의 아기 어린이용 수분이 많은 물티슈프 민감성 피부를 위한 무향 저자극 포티 트레이닝 물티 클렌징 클로즈 250카운.jpg,"./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/칸두의 아기 어린이용 수분이 많은 물티슈프 민감성 피부를 위한 무향 저자극 포티 트레이닝 물티 클렌징 클로즈 250카운/칸두의 아기 어린이용 수분이 많은 물티슈프 민감성 피부를 위한 무향 저자극 포티 트레이닝 물티 클렌징 클로즈 250카운_0.jpg,./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/칸두의 아기 어린이용 수분이 많은 물티슈프 민감성 피부를 위한 무향 저자극 포티 트레이닝 물티 클렌징 클로즈 250카운/칸두의 아기 어린이용 수분이 많은 물티슈프 민감성 피부를 위한 무향 저자극 포티 트레이닝 물티 클렌징 클로즈 250카운_1.jpg",https://www.coupang.com/vp/products/4343795208?itemId=5087932421&vendorItemId=72397549556&sourceType=CATEGORY&categoryId=485881
18,19,,페이셜 코튼 티슈 코튼 소프트 타월 100% 내추럴 코튼 다목적 클렌징 페이스 타월 리무버블 페이스 타월 Wipes Dry Wet Amphib,no_brand,,,,,,단일옵션,"46,500원",2021-01-13 15:57:40.549663,,,,./img_files_in_coupang_baby_title/product/물티슈/건티슈/no_brand/페이셜 코튼 티슈 코튼 소프트 타월 100% 내추럴 코튼 다목적 클렌징 페이스 타월 리무버블 페이스 타월 Wipes Dry Wet Amphib.jpg,"./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/페이셜 코튼 티슈 코튼 소프트 타월 100% 내추럴 코튼 다목적 클렌징 페이스 타월 리무버블 페이스 타월 Wipes Dry Wet Amphib/페이셜 코튼 티슈 코튼 소프트 타월 100% 내추럴 코튼 다목적 클렌징 페이스 타월 리무버블 페이스 타월 Wipes Dry Wet Amphib_0.jpg,./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/페이셜 코튼 티슈 코튼 소프트 타월 100% 내추럴 코튼 다목적 클렌징 페이스 타월 리무버블 페이스 타월 Wipes Dry Wet Amphib/페이셜 코튼 티슈 코튼 소프트 타월 100% 내추럴 코튼 다목적 클렌징 페이스 타월 리무버블 페이스 타월 Wipes Dry Wet Amphib_1.jpg",https://www.coupang.com/vp/products/4343794014?itemId=5087928453&vendorItemId=72397548896&sourceType=CATEGORY&categoryId=485881
19,20,,건성피부용 MsFun Face Towel - 메이크업 지우개용 페이셜 Wowel - 얼굴용 80Ct.롤 - 면 100% 코튼 워시클러즈 - 일회용 생분,no_brand,,,,,,단일옵션,"22,800원",2021-01-13 15:57:55.858803,,,,./img_files_in_coupang_baby_title/product/물티슈/건티슈/no_brand/건성피부용 MsFun Face Towel - 메이크업 지우개용 페이셜 Wowel - 얼굴용 80Ct.롤 - 면 100% 코튼 워시클러즈 - 일회용 생분.jpg,"./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/건성피부용 MsFun Face Towel - 메이크업 지우개용 페이셜 Wowel - 얼굴용 80Ct.롤 - 면 100% 코튼 워시클러즈 - 일회용 생분/건성피부용 MsFun Face Towel - 메이크업 지우개용 페이셜 Wowel - 얼굴용 80Ct.롤 - 면 100% 코튼 워시클러즈 - 일회용 생분_0.jpg,./img_files_in_coupang_baby_title/product_detail/물티슈/건티슈/no_brand/건성피부용 MsFun Face Towel - 메이크업 지우개용 페이셜 Wowel - 얼굴용 80Ct.롤 - 면 100% 코튼 워시클러즈 - 일회용 생분/건성피부용 MsFun Face Towel - 메이크업 지우개용 페이셜 Wowel - 얼굴용 80Ct.롤 - 면 100% 코튼 워시클러즈 - 일회용 생분_1.jpg",https://www.coupang.com/vp/products/4343793994?itemId=5087928390&vendorItemId=72397548885&sourceType=CATEGORY&categoryId=485881
